,token,median,std,p
0,Aratome15a_S01_W01,1473.0,921.466788798,5282.0
1,Aratome15a_S01_W02,1396.0,674.809646429,4112.0
2,Aratome15a_S01_W03,1263.0,594.426231341,3711.0
3,Aratome15a_S01_W04,1413.0,1012.19080693,4079.0
4,Aratome15a_S01_W05,1486.0,717.549812557,4255.0
5,Aratome15a_S01_W06,1278.0,721.806364745,4356.0
6,Aratome15a_S01_W07,2006.0,952.860848623,5907.0
7,Aratome15a_S01_W08,1793.0,905.109124457,5420.0
8,Aratome15a_S01_W09,1670.0,811.931742911,4988.0
9,Aratome15a_S01_W10,1340.0,651.781423811,4129.0
10,Aratome15a_S01_W11,1461.0,683.543502046,4081.0
11,Aratome15a_S01_W12,1521.0,717.099198852,4538.0
12,Aratome15a_S02_W07,1472.0,682.350734366,4114.0
13,Aratome15a_S02_W08,1470.0,612.827384321,3997.0
14,Aratome15a_S02_W09,1791.0,801.621607957,5030.0
15,Aratome15a_S02_W10,1825.0,726.58256601,4760.0
16,Aratome15a_S02_W11,1938.0,819.450481884,4652.0
17,Aratome15a_S02_W12,0.0,0.0,0.0
18,Aratome15a_S03_W01,1264.0,746.230428385,4465.0
19,Aratome15a_S03_W02,1393.0,875.042286122,4821.0
20,Aratome15a_S03_W03,1220.0,578.213484552,3649.0
21,Aratome15a_S03_W04,1333.0,821.380649082,4839.0
22,Aratome15a_S03_W05,1212.0,587.456524925,3672.0
23,Aratome15a_S03_W06,1191.0,512.935061931,3382.0
24,Aratome15a_S03_W07,983.0,103.45658401,1160.0
25,Aratome15a_S03_W08,943.0,94.0697017107,1105.0
26,Aratome15a_S03_W09,959.0,237.281253722,1147.0
27,Aratome15a_S03_W10,917.0,96.2080473018,1091.0
28,Aratome15a_S03_W11,920.0,127.482276488,1137.0
29,Aratome15a_S04_W01,1906.0,693.335325366,4232.0
30,Aratome15a_S04_W02,1416.0,871.364363654,5051.0
31,Aratome15a_S04_W03,1401.0,634.700306753,3932.0
32,Aratome15a_S04_W04,1472.0,673.771809126,4236.0
33,Aratome15a_S04_W05,1624.0,676.615037197,4327.0
34,Aratome15a_S04_W06,1490.0,763.065109788,4739.0
35,Aratome15a_S04_W07,1762.0,1058.6387006,5394.0
36,Aratome15a_S04_W08,1514.0,654.828666976,4258.0
37,Aratome15a_S04_W09,1384.0,572.394993826,3756.0
38,Aratome15a_S04_W10,1479.0,628.048047052,4082.0
39,Aratome15a_S04_W11,1372.0,535.033426231,3569.0
40,Aratome15a_S04_W12,1233.0,528.920090149,3467.0
41,Aratome15a_S05_W01,1461.0,729.390703673,4462.0
42,Aratome15a_S05_W02,1399.0,621.157886993,4011.0
43,Aratome15a_S05_W03,1648.0,844.925313551,5171.0
44,Aratome15a_S05_W04,1642.0,815.685849528,4858.0
45,Aratome15a_S05_W05,2008.0,820.1615322,5365.0
46,Aratome15a_S05_W06,1726.0,691.560257532,4531.0
47,Aratome15a_S05_W07,1484.0,714.726443104,4477.0
48,Aratome15a_S05_W08,1564.0,675.900000114,4169.0
49,Aratome15a_S05_W09,1635.0,735.531251744,4676.0
50,Aratome15a_S05_W10,1662.0,680.321859661,4501.0
51,Aratome15a_S05_W11,1565.0,801.843344821,4969.0
52,Aratome15a_S06_W01,1833.0,1300.8722357,7177.0
53,Aratome15a_S06_W02,1773.0,1219.48451265,6853.0
54,Aratome15a_S06_W03,1737.0,1011.28131505,5866.0
55,Aratome15a_S06_W04,1815.0,1103.64345787,6387.0
56,Aratome15a_S06_W05,1692.0,1241.57232016,5661.0
57,Aratome15a_S06_W06,1635.0,944.832235483,5559.0
58,Aratome15a_S06_W07,1720.0,1107.28903569,6352.0
59,Aratome15a_S06_W08,1847.0,1213.31717965,6902.0
60,Aratome15a_S06_W09,1820.0,1156.64453127,6667.0
61,Aratome15a_S06_W10,1780.0,1116.21911401,6570.0
62,Aratome15a_S06_W11,1590.0,875.248736928,5289.0
63,Aratome15a_S06_W12,1727.0,668.174541216,4290.0
64,Aratome15a_S07_W01,1721.0,875.412459766,4624.0
65,Aratome15a_S07_W02,1670.0,943.860645026,5599.0
66,Aratome15a_S07_W03,1458.0,832.319434606,4606.0
67,Aratome15a_S07_W04,1605.0,891.64993588,5353.0
68,Aratome15a_S07_W05,1494.0,762.222135973,4677.0
69,Aratome15a_S07_W06,1327.0,564.367223224,3717.0
70,Aratome15a_S07_W07,1684.0,924.292990226,5484.0
71,Aratome15a_S07_W09,1544.0,817.536922891,5034.0
72,Aratome15a_S07_W11,1473.0,729.764461342,4451.0
73,Aratome15a_S07_W12,1650.0,724.06809655,4621.0
74,Aratome15a_S08_W01,1085.0,528.915352518,3297.0
75,Aratome15a_S08_W02,1006.0,554.77516213,3518.0
76,Aratome15a_S08_W03,1042.0,520.658075445,3215.0
77,Aratome15a_S08_W04,1215.0,610.289736946,3775.0
78,Aratome15a_S08_W05,1154.0,537.68115398,3386.0
79,Aratome15a_S08_W06,1162.0,657.247997312,3561.0
80,Aratome15a_S08_W07,1191.0,615.522369547,3713.0
81,Aratome15a_S08_W08,1049.0,468.423485731,3036.0
82,Aratome15a_S08_W09,1146.0,575.425903755,3533.0
83,Aratome15a_S08_W10,1102.0,543.039649323,3421.0
84,Aratome15a_S08_W11,1058.0,496.045255434,3155.66
85,Aratome15a_S08_W12,1099.0,999.698802847,3681.0
86,Aratome15a_S09_W02,1623.0,1007.22491903,5786.0
87,Aratome15a_S09_W03,1609.0,992.991232031,5735.0
88,Aratome15a_S09_W04,1653.0,996.918156132,5360.0
89,Aratome15a_S09_W05,1604.0,982.977557947,5738.0
90,Aratome15a_S09_W06,1640.0,1280.01119103,5735.0
91,Aratome15a_S09_W07,1640.0,1260.92753401,5291.0
92,Aratome15a_S09_W08,1430.0,788.793968301,4719.0
93,Aratome15a_S09_W10,1601.0,797.98302108,4756.0
94,Aratome15a_S09_W11,1510.0,749.973162104,4485.0
95,Aratome15a_S09_W12,1751.0,1310.19074495,5876.0
96,Aratome15a_S10_W01,2001.0,1477.14281127,8159.0
97,Aratome15a_S10_W02,1838.0,1166.58974889,6603.16
98,Aratome15a_S10_W03,1662.0,1049.78368801,5978.0
99,Aratome15a_S10_W04,1892.0,1062.35216935,6150.0
100,Aratome15a_S10_W05,1746.0,1003.13557729,5869.0
101,Aratome15a_S10_W06,1836.0,1057.05810074,6217.0
102,Aratome15a_S10_W07,1949.0,966.82000987,5798.0
103,Aratome15a_S10_W08,1761.0,793.926784937,4914.0
104,Aratome15a_S10_W10,1835.0,960.206214033,5749.0
105,Aratome15a_S10_W11,2076.0,955.626218434,5884.0
106,Aratome15a_S10_W12,2086.0,971.554542651,6094.0
107,Aratome15a_S11_W01,1808.0,1418.83818814,7316.0
108,Aratome15a_S11_W02,1937.0,1302.73946501,7281.0
109,Aratome15a_S11_W03,1687.0,1016.7063374,5851.0
110,Aratome15a_S11_W04,1964.0,1206.93909125,6972.0
111,Aratome15a_S11_W05,1991.0,974.341987592,5911.0
112,Aratome15a_S11_W06,1684.0,1153.53510434,6544.0
113,Aratome15a_S11_W07,1846.0,1151.8697089,6624.0
114,Aratome15a_S11_W08,1798.0,1055.49943833,6143.0
115,Aratome15a_S11_W09,1813.0,1088.34931435,6302.0
116,Aratome15a_S11_W10,1888.0,1127.16464781,6604.0
117,Aratome15a_S11_W11,1962.0,1157.55605221,6783.0
118,Aratome15a_S11_W12,1741.0,986.57259784,5930.0
119,Aratome15a_S12_W02,1542.0,828.086376822,4966.0
120,Aratome15a_S12_W03,1564.0,906.182085943,5349.0
121,Aratome15a_S12_W04,2093.0,1028.74863454,6013.0
122,Aratome15a_S12_W05,1863.0,1038.54416215,6138.0
123,Aratome15a_S12_W06,1916.0,984.484227676,5922.0
124,Aratome15a_S12_W07,1880.0,689.244255983,4306.0
125,Aratome15a_S12_W08,1798.0,994.948070636,5863.0
126,Aratome15a_S12_W09,1692.0,921.312026073,5531.0
127,Aratome15a_S12_W10,1744.0,1010.11211721,6008.0
128,Aratome15a_S12_W11,1869.0,1111.17818689,6507.0
129,Aratome15a_S12_W12,1908.0,826.754083695,5069.03
130,Aratome15a_S13_W01,2461.0,1667.28643154,8381.0
131,Aratome15a_S13_W02,2244.0,1457.66078772,8105.0
132,Aratome15a_S13_W03,1790.0,915.205127842,5405.0
133,Aratome15a_S13_W04,2134.0,938.132024557,5723.0
134,Aratome15a_S13_W05,1917.0,850.652374793,5283.0
135,Aratome15a_S13_W06,2205.0,935.132876474,5674.0
136,Aratome15a_S13_W07,1968.0,1071.39372197,6213.0
137,Aratome15a_S13_W08,1925.0,1023.41773433,6074.0
138,Aratome15a_S13_W09,1804.0,784.679416607,4822.0
139,Aratome15a_S13_W10,2081.0,1025.64188789,6082.0
140,Aratome15a_S13_W11,1914.0,1062.10413374,5889.0
141,Aratome15a_S13_W12,2060.0,917.219115782,5430.0
142,Aratome15a_S14_W01,1593.0,967.979579539,5684.0
143,Aratome15a_S14_W02,1766.0,1143.85667473,6572.9
144,Aratome15a_S14_W03,1370.0,519.093203447,3541.0
145,Aratome15a_S14_W04,1744.0,868.634989418,5293.0
146,Aratome15a_S14_W05,1651.0,920.029322853,5007.0
147,Aratome15a_S14_W06,1727.0,789.450677304,4908.0
148,Aratome15a_S14_W07,1549.0,796.339844499,4535.0
149,Aratome15a_S14_W08,1517.0,934.491116468,4817.0
150,Aratome15a_S14_W09,1556.0,679.411714914,4252.0
151,Aratome15a_S14_W10,1577.0,736.55224432,4637.0
152,Aratome15a_S14_W11,1587.0,801.405162274,4891.0
153,Aratome15a_S14_W12,1604.0,863.05468925,4668.0
154,Aratome15a_S15_W01,2162.0,1179.36381606,6827.0
155,Aratome15a_S15_W02,2102.0,1275.0092495,7306.0
156,Aratome15a_S15_W03,2000.0,1073.74536867,6253.0
157,Aratome15a_S15_W05,2212.0,1135.24779602,6761.0
158,Aratome15a_S15_W06,2179.0,1118.17835288,6742.0
159,Aratome15a_S15_W07,2239.0,1022.29326316,6158.0
160,Aratome15a_S15_W08,1946.0,1011.0703689,6071.0
161,Aratome15a_S15_W09,1934.0,902.393302001,5587.0
162,Aratome15a_S15_W10,2037.0,1223.89137765,7135.0
163,Aratome15a_S15_W11,1803.0,1002.37632448,6032.0
164,Aratome15a_S15_W12,1276.0,128.239595885,1529.0
165,Aratome15a_S16_W01,1971.0,1280.31716464,6416.0
166,Aratome15a_S16_W02,1965.0,1279.25649888,6552.0
167,Aratome15a_S16_W03,2054.0,1309.14905927,7265.0
168,Aratome15a_S16_W04,2166.0,1455.40641943,7998.0
169,Aratome15a_S16_W05,2175.0,1116.85465214,6363.0
170,Aratome15a_S16_W06,1938.0,1245.65303986,7031.0
171,Aratome15a_S16_W07,2006.0,1055.3828468,6174.0
172,Aratome15a_S16_W08,1903.0,1032.59329815,5860.0
173,Aratome15a_S16_W09,2173.0,1444.85242173,8119.0
174,Aratome15a_S16_W10,2429.0,1604.25624269,8901.0
175,Aratome15a_S16_W11,2192.0,1129.19285683,6688.73
176,Aratome15a_S16_W12,1907.0,1160.44193583,6737.0
177,Aratome15a_S17_W01,2088.0,1137.79598807,6582.0
178,Aratome15a_S17_W02,2254.0,1295.53056255,7387.0
179,Aratome15a_S17_W03,2061.0,1380.15242386,7796.0
180,Aratome15a_S17_W04,2837.0,1760.78627532,9868.57
181,Aratome15a_S17_W05,2621.0,1482.3533798,8538.0
182,Aratome15a_S17_W06,2353.0,1015.49524669,6123.0
183,Aratome15a_S17_W07,1993.0,916.576832846,5592.0
184,Aratome15a_S17_W08,2100.0,1068.14421447,6328.0
185,Aratome15a_S17_W09,2180.0,1186.96375038,6940.0
186,Aratome15a_S17_W10,2664.0,1502.43181853,8683.0
187,Aratome15a_S17_W11,2370.0,1390.03336537,7957.0
188,Aratome15a_S17_W12,2164.0,1211.07593407,7189.0
189,Aratome15a_S18_W01,1729.0,880.756347227,5325.0
190,Aratome15a_S18_W02,1947.0,1216.94758826,6945.0
191,Aratome15a_S18_W03,1975.0,1241.55149904,7069.0
192,Aratome15a_S18_W04,1837.0,1116.47848881,6464.0
193,Aratome15a_S18_W05,1762.0,1080.25318739,6312.0
194,Aratome15a_S18_W06,1734.0,1074.48847108,5929.0
195,Aratome15a_S18_W07,1828.0,1178.88856336,6755.0
196,Aratome15a_S18_W08,1932.0,1174.85612454,6766.0
197,Aratome15a_S18_W09,1686.0,1018.83506261,5965.0
198,Aratome15a_S18_W10,2121.0,1407.2706012,7944.0
199,Aratome15a_S18_W11,2132.0,1072.10499274,6180.0
200,Aratome15a_S18_W12,2022.0,1268.05615444,6888.0
201,Aratome15a_S19_W01,1757.0,1197.09675466,6758.0
202,Aratome15a_S19_W02,1838.0,1061.30784803,6064.0
203,Aratome15a_S19_W03,1609.0,1029.85143086,5923.0
204,Aratome15a_S19_W04,1921.0,1210.40546522,6832.0
205,Aratome15a_S19_W05,1772.0,895.312341739,5261.0
206,Aratome15a_S19_W06,1772.0,991.051998546,5815.0
207,Aratome15a_S19_W07,1731.0,1001.52843088,5839.0
208,Aratome15a_S19_W08,1905.0,1149.80969938,6522.0
209,Aratome15a_S19_W09,2065.0,1171.11496119,6560.0
210,Aratome15a_S19_W10,1822.0,1062.92803463,6211.0
211,Aratome15a_S19_W11,1753.0,1020.92023103,5762.0
212,Aratome15a_S19_W12,1709.0,951.93656349,5624.0
213,S15_W02,2102.0,1275.0092495,7306.0
214,S17_W01,2088.0,1137.79598807,6582.0
